42.89425	11.669222	circle1	red	1	Abbadia S.Salvatore
41.774611	13.404917	circle1	red	2	Abbazia Trisulti
42.744222	11.877	circle1	green	3	Acquapendente
42.157778	11.908722	circle1	yellow	4	Allumiere
42.638444	13.28725	circle1	blue	5	Amatrice
41.449889	12.630361	circle1	black	6	Anzio
41.59375	12.648389	circle1	black	7	Aprilia
41.61175	12.536833	circle1	black	8	Ardea
42.036167	13.019806	circle1	green	9	Arsoli
42.118	12.366917	circle1	green	10	Baccano
42.626194	12.102556	circle1	yellow	11	Bagnoregio
42.254278	12.044417	circle1	yellow	12	Barbarano
42.653444	11.972167	circle1	yellow	13	Bolsena
41.512583	12.769611	circle1	black	14	Borgo Montello
42.192944	13.231722	circle1	blue	15	Borgorose
42.101972	12.174944	circle1	yellow	16	Bracciano
42.276972	13.148389	circle1	blue	17	Brusciano
41.972667	13.10575	circle1	blue	18	Campaegli
41.559583	12.640583	circle1	black	19	Campo di Carne
41.399806	13.531694	circle1	yellow	20	Campodimele
41.72975	13.679556	circle1	yellow	21	Campoli Appennino
42.464361	11.748917	circle1	black	22	Canino rlazio
41.602878	13.088294	circle1	yellow	23	Carpineto Romano
42.096091	12.279195	circle1	yellow	24	Castello Vici
41.578861	13.326361	circle1	green	25	Ceccano rlazio
41.700361	12.649917	circle1	black	26	Cecchina
41.489944	13.905667	circle1	yellow	27	Cervaro
42.417306	12.210667	circle1	red	28	Cimino
41.589556	12.823194	circle1	black	29	Cisterna di Latina
42.385778	12.951944	circle1	green	30	Cittaducale
42.590472	13.163139	circle1	blue	31	Cittareale
42.096611	11.785333	circle1	black	32	Civitavecchia
42.214528	12.028972	circle1	green	33	Civitella Cesi
42.139833	13.048139	circle1	red	34	Collalto Sabino
41.898667	12.480444	circle1	black	35	Collegio Romano
42.569	13.02725	circle1	red	36	Colle la Croce
41.560194	13.677639	circle1	green	37	Colle San Magno
42.497944	12.797167	circle1	green	38	Colli sul Velino
42.423139	12.651556	circle1	yellow	39	Configni
42.352333	12.348556	circle1	green	40	Corchiano
41.641361	12.915361	circle1	yellow	41	Cori
41.724778	13.360194	circle1	green	42	Cosa ad Alatri
41.386778	13.657556	circle1	yellow	43	Esperia
41.702944	13.261222	circle1	yellow	44	Ferentino
42.37475	12.561889	circle1	green	45	Fianello
42.126667	12.607889	circle1	green	46	Fiano Romano
41.889306	13.329778	circle1	red	47	Filettino
42.353917	11.59925	circle1	black	48	Fiora a Montalto di Castro
