Stazioni;Data;T-MIN;T-MAX
Allumiere;22/05/2019;11,7;17,4
Allumiere;23/05/2019;11,4;18,6
Allumiere;24/05/2019;10,7;20,2
Allumiere;25/05/2019;9,7;20,3
Allumiere;26/05/2019;10,8;14
Allumiere;27/05/2019;12;16
Allumiere;28/05/2019;11,9;16,3
Allumiere;29/05/2019;10,4;16,5
Allumiere;30/05/2019;9,5;17,4
Allumiere;31/05/2019;9;19,8
Amatrice;01/05/2019;2,4;14,3
Amatrice;02/05/2019;-0,5;18,4
Amatrice;03/05/2019;3,2;17,9
Amatrice;04/05/2019;5,8;14,7
Amatrice;05/05/2019;1,7;13
Amatrice;06/05/2019;1;8,3
Amatrice;07/05/2019;-1,6;16,1
Amatrice;08/05/2019;0,6;17,9
Amatrice;09/05/2019;4,2;17,3
Amatrice;10/05/2019;2,1;15,5
Amatrice;11/05/2019;2,2;20,2
Amatrice;12/05/2019;6,1;14,8
Amatrice;13/05/2019;5,6;10,4
Amatrice;14/05/2019;2,4;11
Amatrice;15/05/2019;1,3;9,6
Amatrice;16/05/2019;1,4;17,1
Amatrice;17/05/2019;3,1;19,7
Amatrice;18/05/2019;5,3;15,1
Amatrice;19/05/2019;6,7;14
Amatrice;20/05/2019;5,9;16
Amatrice;21/05/2019;7,2;15,7
Amatrice;22/05/2019;6,6;19,4
Amatrice;23/05/2019;6;19,9
Amatrice;24/05/2019;5,3;21,6
Amatrice;25/05/2019;5,7;20,2
Amatrice;26/05/2019;10,3;15,7
Amatrice;27/05/2019;9,6;18
Amatrice;28/05/2019;9,6;18,3
Amatrice;29/05/2019;7,6;16,5
Amatrice;30/05/2019;4;16,1
Amatrice;31/05/2019;7,6;17,6
Anzio;01/05/2019;11,1;17,3
Anzio;02/05/2019;11,1;18
Anzio;03/05/2019;11,8;16,7
Anzio;04/05/2019;13,3;15,9
Anzio;05/05/2019;8,1;15,5
Anzio;06/05/2019;7,5;15,7
Anzio;07/05/2019;8,8;16,5
Anzio;08/05/2019;9,8;16,4
Anzio;09/05/2019;14,3;18,5
Anzio;10/05/2019;12,5;18,6
Anzio;11/05/2019;12,9;18,2
Anzio;12/05/2019;13,8;18,1
Anzio;13/05/2019;12,3;20,7
Anzio;14/05/2019;12,1;18,1
Anzio;15/05/2019;9,8;14,3
Anzio;16/05/2019;9,9;17,5
Anzio;17/05/2019;12;17,7
Anzio;18/05/2019;15,8;17,8
Anzio;19/05/2019;13,7;17,8
Anzio;20/05/2019;11,9;17,6
Anzio;21/05/2019;14,5;19,1
Anzio;22/05/2019;14,3;19
Anzio;23/05/2019;14,2;19,1
Anzio;24/05/2019;14,5;19,6
Anzio;25/05/2019;13,3;19,5
Anzio;26/05/2019;14,1;17,9
Anzio;27/05/2019;15,3;18,3
Anzio;28/05/2019;14,5;19,4
Anzio;29/05/2019;14,8;19,1
Anzio;30/05/2019;13,8;19,4
Anzio;31/05/2019;14;18,9
Aprilia;01/05/2019;10,5;18,2
Aprilia;02/05/2019;9,8;19,3
Aprilia;03/05/2019;11,3;19,2
Aprilia;04/05/2019;12,5;15,4
Aprilia;05/05/2019;7,6;15,3
Aprilia;06/05/2019;6,7;16,8
Aprilia;07/05/2019;8,8;17,4
Aprilia;08/05/2019;9,7;17,7
Aprilia;09/05/2019;12,6;20,4
Aprilia;10/05/2019;11,5;21
Aprilia;11/05/2019;12,3;20,4
Aprilia;12/05/2019;12,8;18,8
Aprilia;13/05/2019;11,7;20
Aprilia;14/05/2019;12;19,5
Aprilia;15/05/2019;9,5;12,6
Aprilia;16/05/2019;8,6;19,4
Aprilia;17/05/2019;10,6;20
Aprilia;18/05/2019;14,1;18,1
Aprilia;19/05/2019;12,7;17,8
Aprilia;20/05/2019;11,3;18
Aprilia;21/05/2019;12,6;20,2
Aprilia;22/05/2019;12;19,8
Aprilia;23/05/2019;13,3;20,2
Aprilia;24/05/2019;12,6;20,7
Aprilia;25/05/2019;11,9;21
Aprilia;26/05/2019;14,3;18,1
