Stazioni;Data;T-MIN;T-MAX
Allumiere;22/03/2019;8,7;19,6
Allumiere;23/03/2019;9,6;19,3
Allumiere;24/03/2019;11,2;19,1
Allumiere;25/03/2019;7,6;16,3
Allumiere;26/03/2019;4,5;8,4
Allumiere;27/03/2019;4,5;14,7
Allumiere;28/03/2019;3,8;14
Allumiere;29/03/2019;4;17,2
Allumiere;30/03/2019;6,8;15,1
Allumiere;31/03/2019;8,5;17,1
Amatrice;01/03/2019;-0,9;12,8
Amatrice;02/03/2019;0,5;14
Amatrice;03/03/2019;-2,6;15,9
Amatrice;04/03/2019;-1,6;16,2
Amatrice;05/03/2019;-0,1;12,4
Amatrice;06/03/2019;-3,1;17,3
Amatrice;07/03/2019;3,1;19
Amatrice;08/03/2019;4,1;16,1
Amatrice;09/03/2019;-1,1;15,5
Amatrice;10/03/2019;-1,1;15
Amatrice;11/03/2019;0,1;13,8
Amatrice;12/03/2019;-4,4;6,5
Amatrice;13/03/2019;-6,5;12,3
Amatrice;14/03/2019;-0,2;10,1
Amatrice;15/03/2019;-1,1;15,2
Amatrice;16/03/2019;-0,1;17,1
Amatrice;17/03/2019;0;20,9
Amatrice;18/03/2019;0,7;15,1
Amatrice;19/03/2019;-2,5;7,9
Amatrice;20/03/2019;-2,7;7,8
Amatrice;21/03/2019;-4,7;14
Amatrice;22/03/2019;-3,4;15,6
Amatrice;23/03/2019;-2,5;17,9
Amatrice;24/03/2019;-2,3;21,8
Amatrice;25/03/2019;0,4;18,6
Amatrice;26/03/2019;0,8;9
Amatrice;27/03/2019;-2,5;11
Amatrice;28/03/2019;-2,3;10,8
Amatrice;29/03/2019;-3,9;12,9
Amatrice;30/03/2019;-5,9;17,5
Amatrice;31/03/2019;-2,2;20,3
Anzio;01/03/2019;7,4;13,7
Anzio;02/03/2019;9;17,2
Anzio;03/03/2019;10,4;15,4
Anzio;04/03/2019;8,3;14,3
Anzio;05/03/2019;10;15,4
Anzio;06/03/2019;9,2;14,2
Anzio;07/03/2019;12;16,3
Anzio;08/03/2019;12,7;15,4
Anzio;09/03/2019;10;15,8
Anzio;10/03/2019;13,1;14
Anzio;11/03/2019;6,9;14,9
Anzio;12/03/2019;7,3;15
Anzio;13/03/2019;7,2;13,4
Anzio;14/03/2019;7,3;15,8
Anzio;15/03/2019;7,6;15,3
Anzio;16/03/2019;11,8;17,4
Anzio;17/03/2019;10,6;15,5
Anzio;18/03/2019;11,2;15
Anzio;19/03/2019;8,8;15,1
Anzio;20/03/2019;9,1;15,9
Anzio;21/03/2019;9,7;18,7
Anzio;22/03/2019;11,8;19,8
Anzio;23/03/2019;10,3;17,6
Anzio;24/03/2019;10,4;17,7
Anzio;25/03/2019;8,8;17,1
Anzio;26/03/2019;10,2;16,1
Anzio;27/03/2019;11,4;15,9
Anzio;28/03/2019;8,7;15,7
Anzio;29/03/2019;9,7;16,2
Anzio;30/03/2019;8,4;15,5
Anzio;31/03/2019;8,7;15,8
Aprilia;01/03/2019;6,8;13,7
Aprilia;02/03/2019;9,1;17,6
Aprilia;03/03/2019;8,7;17,4
Aprilia;04/03/2019;6,5;15,5
Aprilia;05/03/2019;9,4;15,8
Aprilia;06/03/2019;8,8;17,1
Aprilia;07/03/2019;10,2;18,5
Aprilia;08/03/2019;12,2;16,9
Aprilia;09/03/2019;9;16,2
Aprilia;10/03/2019;10,7;14,4
Aprilia;11/03/2019;6,5;16,4
Aprilia;12/03/2019;6,8;15
Aprilia;13/03/2019;4,8;14,5
Aprilia;14/03/2019;6,7;16,7
Aprilia;15/03/2019;5,3;17,2
Aprilia;16/03/2019;10,7;18,2
Aprilia;17/03/2019;10,6;16,7
Aprilia;18/03/2019;9,2;15,1
Aprilia;19/03/2019;8,1;15
Aprilia;20/03/2019;7,3;16,8
Aprilia;21/03/2019;7,9;22,3
Aprilia;22/03/2019;10,2;21,3
Aprilia;23/03/2019;9,9;19,4
Aprilia;24/03/2019;10;20,5
Aprilia;25/03/2019;8,7;17,8
Aprilia;26/03/2019;10,8;17,5
Aprilia;27/03/2019;10,6;17,3
Aprilia;28/03/2019;8,9;17,1
Aprilia;29/03/2019;6,9;17,9
Aprilia;30/03/2019;8,4;18,5
Aprilia;31/03/2019;7,9;18,5
Ardea;01/03/2019;2,4;15,8
Ardea;02/03/2019;5,2;20,1
Ardea;03/03/2019;2,5;18,5
Ardea;04/03/2019;2,3;17,3
